Season,Name,Team,Pos,Bats,Throws,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
2021,Trea Turner,- - -,SS,R,R,148,646,28,107,77,32,0.063467492,0.170278637,0.208403361,0.362255965,0.327731092,0.374613003,0.536134453,0.3861617553308143,0.363471616465726,142.50758213473318,7.60003648349084,42.55800320228674,6.820481956005096,7.124843312108161,Trea Turner,16252,607208
2021,Fernando Tatis Jr.,SDP,SS,R,R,130,546,42,99,97,25,0.113553113,0.28021978,0.328451883,0.324041811,0.282426778,0.364468864,0.610878661,0.40267823228129634,0.4067112957989728,157.6987803343458,5.68102334626019,45.78676200979878,3.9888753592967987,6.8282281752260685,Fernando Tatis Jr.,19709,665487
2021,Juan Soto,WSN,RF,L,L,151,654,29,111,95,9,0.221712538,0.142201834,0.221115538,0.332467532,0.312749003,0.464831804,0.533864541,0.42023942209839255,0.4285381498790923,163.69397404985946,-3.1542854248546064,49.875923588818964,-4.14384388923645,6.786114053187871,Juan Soto,20123,665742
2021,Bryce Harper,PHI,RF,L,R,141,599,35,101,84,13,0.166944908,0.223706176,0.305327869,0.359133126,0.309426229,0.42881072,0.614754098,0.4308981269751364,0.43139724338852115,170.48425745080436,-0.258535617031157,53.489945393321065,-7.236770391464233,6.653325212045877,Bryce Harper,11579,547180
2021,José Ramírez,CLE,3B,S,R,152,636,36,111,103,27,0.113207547,0.136792452,0.271739131,0.255760368,0.266304347,0.355345911,0.538043478,0.37188066832554606,0.37458958021136385,139.77967140015403,5.660886381054297,36.636531754779064,5.7223296239972115,6.431628427265394,Jose Ramirez,13510,608070
2021,Bryan Reynolds,PIT,CF,S,R,159,646,24,93,90,5,0.116099071,0.184210526,0.220035778,0.345238095,0.302325581,0.390092879,0.522361359,0.3850083169607764,0.3849686029389149,139.8216033903613,0.4601581431925297,33.20919292943274,8.299061059951782,6.33565344841167,Bryan Reynolds,19326,668804
2021,Vladimir Guerrero Jr.,TOR,1B,R,R,161,698,48,123,111,4,0.123209169,0.157593123,0.289735099,0.3125,0.311258278,0.401146131,0.600993377,0.4190476244334374,0.42227203901423965,165.70161871862166,-1.3559418253134936,54.79196219609982,-15.728569984436035,6.31408774616519,Vladimir Guerrero Jr.,19611,665489
2021,Carlos Correa,HOU,SS,R,R,148,640,26,104,92,0,0.1171875,0.18125,0.205405405,0.307875894,0.279279279,0.365625,0.484684684,0.36358570921757377,0.36978247472111336,132.95456314337574,-1.1341192598920316,24.688339321381473,16.077393054962158,6.285613279386249,Carlos Correa,14162,621043
2021,Brandon Crawford,SFG,SS,L,R,138,549,24,79,90,11,0.102003642,0.19125683,0.223602485,0.334261838,0.298136645,0.373406193,0.52173913,0.37713274529845237,0.35332389255474506,139.67776093736074,-1.594624403398484,26.13645311171197,17.328360557556152,6.205501568540797,Brandon Crawford,5343,543063
2021,Cedric Mullins,BAL,CF,L,L,159,675,30,91,59,30,0.087407407,0.185185185,0.227574751,0.32150776,0.290697674,0.359583952,0.518272425,0.3716875475734027,0.34218601966971784,135.59351174497044,2.4910259677562863,31.90655531761552,4.999096632003784,6.018735630809383,Cedric Mullins,17929,656775
2021,Marcus Semien,TOR,2B,R,R,162,724,45,115,102,15,0.09116022,0.201657458,0.273006135,0.275862068,0.265337423,0.334254143,0.538343558,0.367611065589262,0.3363314522637261,130.94209004165356,2.1240626284852624,29.551818069870745,4.894188642501831,5.940364297681629,Marcus Semien,12533,543760
2021,Aaron Judge,NYY,RF,R,R,148,633,39,89,98,6,0.118483412,0.249605055,0.256363636,0.332402234,0.287272727,0.372827804,0.543636363,0.38704453784199033,0.41814156919241713,149.9826024255484,0.1591959532815963,38.896075334113156,-5.824830770492554,5.4900075131392985,Aaron Judge,15640,592450
2021,Nicky Lopez,KCR,SS,L,R,151,565,2,78,43,22,0.086725663,0.130973451,0.078470825,0.346698113,0.299798792,0.365280289,0.378269617,0.3286870972372955,0.28598685886548914,104.47418016492274,5.3176606863271445,8.41268434115727,26.758569717407227,5.467068572933612,Nicky Lopez,19339,670032
2021,Tyler O'Neill,STL,LF,R,R,138,537,34,89,80,15,0.0707635,0.312849162,0.273858922,0.366197183,0.286307053,0.351955307,0.560165975,0.3838341801082178,0.3865295069177723,142.66600104101735,2.7792295592371374,31.947015846330856,3.2829971313476562,5.339381619530688,Tyler O'Neill,15711,641933
2021,Buster Posey,SFG,C,R,R,113,454,18,68,56,0,0.123348017,0.191629955,0.194936709,0.349315068,0.303797468,0.389867841,0.498734177,0.37888653002231315,0.35756263647950304,140.81757252662743,-3.255853273672983,20.335359623129747,17.48842477798462,5.320227901915944,Buster Posey,9166,457763
2021,Jose Altuve,HOU,2B,R,R,146,678,31,117,83,5,0.097345132,0.134218289,0.211314476,0.280412371,0.277870216,0.350073855,0.489184692,0.35684171336694714,0.3332803652619042,128.39714090450926,1.2253289124928415,24.79786812798094,4.5677008628845215,5.272953747497585,Jose Altuve,5417,514888
