name,team,level,class_last,reliability,player_id,canonical_id,season,last_season,last_n,proj_woba,proj_woba_p10,proj_woba_p90,periph_adj,proj_k_pct,proj_bb_pct,proj_iso,proj_babip,proj_hr_pa,proj_avg,proj_obp
Jackson Jaha,LCSC,NAIA,So,0.576,2714,2714,2027,2026,196,0.4578,0.3894,0.5261,-0.0003,0.1918,0.1305,0.2362,0.3826,0.0374,0.3504,0.4579
Brandon Nguyen,LCSC,NAIA,Jr,0.611,2710,2710,2027,2026,226,0.4554,0.3874,0.5234,0.0001,0.1109,0.1133,0.2865,0.3445,0.0507,0.334,0.4366
Jonny McGill,UBC,NAIA,,0.73,4785,4785,2027,2025,260,0.4519,0.3852,0.5187,0.0,0.1321,0.1142,0.2351,0.3707,0.0412,0.3527,0.4488
Kyle Memarian,Whitworth,D3,Sr,0.766,3287,3287,2027,2026,220,0.4407,0.3743,0.507,-0.0003,0.0891,0.1072,0.2238,0.3693,0.038,0.3635,0.4611
Izzy Madariaga,LCSC,NAIA,Sr,0.733,2712,2712,2027,2026,244,0.4385,0.3718,0.5053,0.0012,0.1229,0.1283,0.2284,0.3517,0.0376,0.3302,0.4435
Caleb Gray,Whitworth,D3,Sr,0.746,3288,3288,2027,2026,214,0.4351,0.3685,0.5017,-0.0017,0.1829,0.1197,0.2594,0.3587,0.0492,0.3231,0.4328
Jace Nagler,EOU,NAIA,Jr,0.739,2744,2744,2027,2026,225,0.4342,0.3675,0.5008,0.0014,0.0841,0.1221,0.2255,0.3438,0.039,0.3392,0.4504
Albert Jennings,Bushnell,NAIA,Sr,0.777,2894,2894,2027,2026,240,0.4295,0.3633,0.4958,-0.0011,0.1986,0.1194,0.2148,0.3831,0.0371,0.337,0.4347
Julien Jones,OIT,NAIA,Sr,0.71,3854,3854,2027,2025,262,0.4294,0.3624,0.4964,0.0,0.1025,0.0862,0.2308,0.3371,0.0391,0.3249,0.4324
Dominic Signorelli,LCSC,NAIA,Sr,0.7,3812,3812,2027,2025,243,0.4292,0.3622,0.4963,0.0,0.1843,0.1597,0.2613,0.3317,0.0438,0.2905,0.4375
Ryan Clay,Corban,NAIA,Sr,0.671,3889,3889,2027,2025,214,0.4266,0.3592,0.4939,0.0,0.1341,0.1406,0.191,0.3598,0.0264,0.3325,0.4434
Halen Otte,Whitman,D3,Sr,0.776,3257,3257,2027,2026,193,0.425,0.3587,0.4913,0.0009,0.1438,0.1073,0.2914,0.3135,0.0657,0.3028,0.4076
Charlie Updegrave,LCSC,NAIA,Sr,0.704,3807,3807,2027,2025,251,0.4236,0.3565,0.4906,0.0,0.189,0.0876,0.2578,0.3455,0.0512,0.3117,0.4061
David Krahn,UBC,NAIA,So,0.743,2976,2976,2027,2026,259,0.4232,0.3566,0.4899,0.0016,0.1172,0.0972,0.2266,0.3375,0.0407,0.321,0.4146
Trent Lenihan,UBC,NAIA,,0.789,4786,4786,2027,2025,271,0.4231,0.3569,0.4892,0.0,0.1191,0.1045,0.2164,0.3595,0.0406,0.3467,0.4376
Mikey Bell,Gonzaga,D1,Jr,0.696,3550,3550,2027,2026,262,0.4229,0.3558,0.49,-0.0003,0.1647,0.1058,0.2263,0.3745,0.0367,0.3362,0.4278
Gavin Turley,Oregon St.,D1,Jr,0.68,3746,3746,2027,2025,307,0.4226,0.3554,0.4899,0.0,0.2233,0.1506,0.2742,0.353,0.0558,0.3056,0.4264
Luke Piazza,Willamette,D3,Jr,0.619,4157,4157,2027,2025,151,0.4224,0.3545,0.4903,0.0,0.1443,0.1035,0.2164,0.3555,0.0343,0.3296,0.4269
Jack Sheward,LCSC,NAIA,Sr,0.646,3810,3810,2027,2025,222,0.4216,0.354,0.4892,0.0,0.1291,0.1121,0.222,0.3475,0.0345,0.3251,0.4226
Patrick Barry,OIT,NAIA,Sr,0.705,3852,3852,2027,2025,270,0.4213,0.3543,0.4883,0.0,0.091,0.1193,0.1354,0.3702,0.01,0.3543,0.4468
Aiva Arquette,Oregon St.,D1,Jr,0.662,3745,3745,2027,2025,310,0.4186,0.3512,0.4861,0.0,0.1662,0.1093,0.2552,0.3494,0.0498,0.3178,0.4148
Andrew Sharp,OIT,NAIA,Sr,0.739,2786,2786,2027,2026,247,0.4184,0.3517,0.4851,0.0011,0.1052,0.1401,0.179,0.3476,0.0274,0.3269,0.44
Mason Neville,Oregon,D1,Jr,0.627,3726,3726,2027,2025,280,0.4181,0.3503,0.4859,0.0,0.2399,0.1539,0.351,0.3152,0.0722,0.2834,0.3987
